Format Version,1.23,Take Name,Take 2022-05-02 03.27.18 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-02 03.27.19.810 PM,Capture Start Frame,231020,Total Frames in Take,1505,Total Exported Frames,1505,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Atlas:Marker1,Atlas:Marker1,Atlas:Marker1,Atlas:Marker2,Atlas:Marker2,Atlas:Marker2,Atlas:Marker3,Atlas:Marker3,Atlas:Marker3,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007
,ID,"C66A0","C66A0","C66A0","C6D90","C6D90","C6D90","C6DB0","C6DB0","C6DB0","C5E80","C5E80","C5E80","C7620","C7620","C7620","C7630","C7630","C7630","C7640","C7640","C7640"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
55,0.458000,-7410.033691,2353.147705,-2149.310791,-7301.081055,2353.890869,-2040.831543,-7320.164551,2349.722412,-2168.646484,-3639.427002,199.151260,2679.310547,,,,,,,,,
56,0.466000,-7408.224121,2352.513672,-2148.293945,-7299.758301,2354.097412,-2040.467529,-7318.682617,2349.769531,-2168.081543,-3639.423340,199.161896,2679.306152,,,,,,,,,
57,0.475000,-7408.571289,2355.319824,-2147.422852,-7298.065430,2354.013672,-2039.714844,-7317.195312,2349.904297,-2167.553955,-3639.467773,199.203247,2679.328857,,,,,,,,,
58,0.483000,-7405.280762,2352.785889,-2147.265381,-7296.705078,2354.164795,-2039.282104,-7315.705078,2349.881104,-2167.049805,-3639.471680,199.224472,2679.337891,,,,,,,,,
59,0.491000,-7403.891113,2352.855713,-2146.855225,-7295.201172,2354.068604,-2038.619507,-7314.315430,2349.980469,-2166.545166,-3639.486084,199.179077,2679.347900,,,,,,,,,
60,0.500000,-7402.732910,2353.527100,-2146.602539,-7293.661133,2354.177490,-2038.075928,-7312.697754,2349.924316,-2165.885986,-3639.463379,199.164810,2679.331787,,,,,,,,,
61,0.508000,-7401.084473,2353.043457,-2145.716309,-7292.312500,2354.257568,-2037.567383,-7311.299805,2349.971924,-2165.368408,-3639.476318,199.226318,2679.322266,,,,,,,,,
62,0.516000,-7400.079590,2353.472900,-2145.634033,-7291.125977,2354.433838,-2037.236694,-7309.975098,2350.032715,-2164.926025,-3639.454590,199.250168,2679.340332,,,,,,,,,
63,0.525000,-7397.888184,2352.779297,-2144.607422,-7289.440918,2354.354492,-2036.434692,-7308.431152,2350.009521,-2164.236572,-3639.475586,199.172668,2679.307373,,,,,,,,,
64,0.533000,-7396.452637,2352.431641,-2143.864014,-7288.209473,2354.415771,-2035.998535,-7307.110840,2350.061768,-2163.731934,-3639.487305,199.196991,2679.320312,,,,,,,,,
65,0.541000,-7395.677246,2353.269775,-2143.808594,-7286.805664,2354.448730,-2035.417847,-7305.855957,2350.103760,-2163.321045,-3639.465332,199.199432,2679.324951,,,,,,,,,
66,0.550000,-7393.375488,2351.985840,-2142.654297,-7285.626953,2354.693359,-2035.172485,-7304.421875,2350.220703,-2162.816895,-3639.489014,199.253494,2679.340332,,,,,,,,,
67,0.558000,-7393.001465,2353.318848,-2143.057373,-7284.166504,2354.593018,-2034.407349,-7303.110352,2350.185303,-2162.272705,-3639.481689,199.214294,2679.312988,,,,,,,,,
68,0.566000,-7391.291016,2352.753174,-2142.087891,-7282.987793,2354.609619,-2033.947998,-7301.812500,2350.184082,-2161.720947,-3639.461670,199.159363,2679.309570,-7337.084961,2419.427979,-1527.666138,,,,,,
69,0.575000,-7390.701172,2353.580566,-2142.093750,-7281.491211,2354.622803,-2033.303711,-7300.450684,2350.206787,-2161.259766,-3639.459473,199.165878,2679.324219,,,,,,,,,
