Format Version,1.23,Take Name,Take 2022-04-30 06.18.20 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-04-30 06.18.21.094 PM,Capture Start Frame,548330,Total Frames in Take,6289,Total Exported Frames,6289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
39,0.325000,-948.648926,1011.151428,1122.192993,-900.477051,1006.424194,1191.497803,-834.492188,1001.471252,1180.091675,-858.242859,1005.639099,1058.582153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333000,-948.651184,1011.147827,1122.199463,-900.497620,1006.398193,1191.489380,-834.482483,1001.447449,1180.100952,-858.222595,1005.621643,1058.585083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341000,-948.623230,1011.156433,1122.204346,-900.468567,1006.387085,1191.500977,-834.509216,1001.428223,1180.101318,-858.229187,1005.616455,1058.586792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,-948.626160,1011.150940,1122.212769,-900.488831,1006.374268,1191.488159,-834.524109,1001.429077,1180.093628,-858.207947,1005.604370,1058.590576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358000,-948.626038,1011.138794,1122.203979,-900.470032,1006.379944,1191.503052,-834.492920,1001.431091,1180.103516,-858.209656,1005.610718,1058.593628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366000,-948.626343,1011.152954,1122.219238,-900.462585,1006.377319,1191.508911,-834.504211,1001.431702,1180.101562,-858.204956,1005.609497,1058.599487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,-948.631042,1011.156555,1122.206421,-900.457336,1006.397827,1191.503418,-834.519714,1001.404053,1180.091553,-858.224182,1005.608459,1058.597412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383000,-948.639160,1011.154663,1122.204590,-900.470032,1006.388916,1191.497314,-834.520691,1001.424805,1180.096436,-858.221069,1005.621338,1058.580444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.391000,-948.653809,1011.166077,1122.197632,-900.482544,1006.400452,1191.499268,-834.495178,1001.435974,1180.101074,-858.231628,1005.621460,1058.576904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.400000,-948.642822,1011.169678,1122.204224,-900.489624,1006.399780,1191.501831,-834.516785,1001.465332,1180.091797,-858.221008,1005.624084,1058.578735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
